iter	Passed	Remaining
0	148	148680
1	149	74548
2	149	49813
3	150	37469
4	150	30043
5	151	25089
6	151	21558
7	152	18907
8	153	16850
9	153	15210
10	154	13869
11	154	12749
12	155	11798
13	155	10979
14	156	10266
15	156	9641
16	157	9092
17	157	8605
18	158	8167
19	158	7772
20	159	7415
21	159	7091
22	159	6794
23	160	6523
24	160	6275
25	161	6044
26	161	5834
27	162	5637
28	162	5453
29	163	5281
30	163	5125
31	164	4975
32	165	4837
33	165	4707
34	166	4583
35	167	4472
36	167	4363
37	168	4257
38	168	4161
39	169	4066
40	169	3974
41	170	3886
42	170	3803
43	171	3722
44	171	3646
45	172	3572
46	172	3502
47	173	3436
48	173	3372
49	174	3311
50	174	3252
51	175	3195
52	175	3140
53	176	3088
54	176	3038
55	177	2990
56	177	2942
57	178	2895
58	178	2852
59	179	2811
60	179	2769
61	180	2732
62	181	2694
63	181	2657
64	182	2620
65	182	2586
66	183	2552
67	183	2517
68	184	2484
69	184	2452
70	185	2421
71	185	2391
72	186	2363
73	186	2334
74	187	2307
75	187	2280
76	188	2255
77	188	2229
78	189	2204
79	189	2180
80	190	2158
81	190	2134
82	190	2110
83	191	2087
84	191	2065
85	192	2045
86	192	2024
87	193	2004
88	193	1984
89	194	1966
90	194	1947
91	195	1929
92	196	1912
93	196	1894
94	197	1878
95	197	1861
96	198	1844
97	198	1828
98	199	1812
99	199	1796
100	200	1781
101	200	1766
102	201	1750
103	201	1735
104	201	1720
105	202	1707
106	203	1694
107	203	1680
108	203	1667
109	204	1654
110	205	1642
111	205	1629
112	206	1617
113	206	1605
114	207	1593
115	207	1581
116	207	1569
117	208	1558
118	208	1547
119	209	1535
120	209	1525
121	210	1513
122	210	1503
123	211	1493
124	211	1483
125	212	1473
126	212	1462
127	213	1453
128	213	1443
129	214	1434
130	214	1424
131	215	1415
132	215	1406
133	216	1397
134	216	1388
135	217	1379
136	217	1370
137	218	1362
138	218	1354
139	219	1345
140	219	1337
141	219	1328
142	220	1320
143	220	1313
144	221	1305
145	221	1298
146	222	1291
147	223	1283
148	223	1276
149	223	1269
150	224	1262
151	224	1255
152	225	1248
153	225	1241
154	226	1235
155	227	1228
156	227	1222
157	228	1215
158	228	1208
159	229	1202
160	229	1195
161	229	1188
162	230	1182
163	230	1176
164	231	1169
165	231	1164
166	232	1157
167	232	1152
168	233	1146
169	233	1140
170	234	1135
171	234	1129
172	235	1123
173	235	1118
174	236	1112
175	236	1107
176	237	1102
177	237	1096
178	238	1091
179	238	1086
180	239	1081
181	239	1076
182	240	1071
183	240	1066
184	241	1061
185	241	1056
186	242	1052
187	242	1047
188	243	1042
189	243	1037
190	243	1033
191	244	1028
192	244	1024
193	245	1020
194	246	1015
195	246	1011
196	246	1006
197	247	1002
198	247	998
199	248	993
200	248	989
201	249	984
202	249	980
203	250	976
204	250	972
205	251	968
206	251	964
207	252	960
208	252	956
209	253	952
210	253	948
211	254	945
212	254	941
213	255	937
214	255	933
215	256	929
216	256	926
217	257	922
218	257	919
219	258	915
220	258	911
221	259	908
222	259	904
223	260	900
224	260	897
225	260	893
226	261	890
227	261	887
228	262	883
229	262	880
230	263	877
231	263	873
232	264	870
233	264	866
234	265	863
235	265	860
236	266	857
237	266	853
238	267	850
239	267	847
240	267	843
241	268	840
242	268	837
243	269	834
244	269	831
245	270	828
246	270	825
247	271	822
248	271	819
249	272	816
250	272	813
251	273	810
252	273	808
253	274	805
254	274	802
255	275	799
256	275	796
257	276	793
258	276	791
259	277	788
260	277	785
261	277	782
262	278	780
263	278	777
264	279	774
265	279	771
266	280	769
267	280	766
268	281	764
269	281	761
270	282	759
271	282	756
